,LOTAÇÃO EXERCÍCIO,REM_LIQUIDA,CATEGORIA
454,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
455,Escritório de Apoio Senadora Maria do Carmo Alves,2241.36,CARGO EM COMISSÃO
461,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
462,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
463,Escritório de Apoio do Senador Paulo Paim,2049.98,CARGO EM COMISSÃO
465,Gabinete da Senadora Kátia Abreu,2049.98,CARGO EM COMISSÃO
467,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
468,Escritório de Apoio do Senador Ciro Nogueira,2049.98,CARGO EM COMISSÃO
469,Escritório de Apoio Senadora Maria do Carmo Alves,2049.98,CARGO EM COMISSÃO
470,Gabinete do Senador Jáder Barbalho,2049.98,CARGO EM COMISSÃO
471,Escritório de Apoio Senadora Maria do Carmo Alves,2061.8,CARGO EM COMISSÃO
472,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
473,Escritório de Apoio do Senador Ciro Nogueira,2061.8,CARGO EM COMISSÃO
476,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
477,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
478,Escritório de Apoio Senadora Maria do Carmo Alves,2049.98,CARGO EM COMISSÃO
479,Gabinete do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
480,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
482,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
483,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
484,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
485,Escritório de Apoio do Senador Jarbas Vasconcelos,2049.98,CARGO EM COMISSÃO
486,Escritório de Apoio 1 do Senador Jaques Wagner,2049.98,CARGO EM COMISSÃO
